Unnamed: 0,Argentina,Australia,Belgium,Brazil,Canada,Chile,China,Costa Rica,Czech Republic,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,"Hong Kong SAR, China",Hungary,Indonesia,Ireland,Israel,Italy,Jordan,Japan,"Korea, Rep.",Mexico,Malaysia,Netherlands,Norway,New Zealand,Peru,Philippines,Poland,Russian Federation,Singapore,Slovakia,Togo,Thailand,Turkey,"Taiwan, China",Uganda,United States
1997M11,,0.667384,1.151653,0.935269,0.804238,,,,,1.020767,,0.994533,,1.381221,,,1.041576,,,0.952442,0.918211,1.01354,0.930375,1.525571,1.933067,0.869247,,0.982263,0.508661,0.827702,0.599457,0.889299,,,1.315857,,,1.093964,1.141237,1.585927,,1.089867
1997M12,,0.665576,1.062698,0.917254,0.789584,,,,,1.019586,,0.979337,,1.392,,,1.048687,,,0.965536,0.924687,1.015136,1.013633,1.527457,2.030653,0.853161,,0.988871,0.501574,0.832108,0.592001,0.901596,,,1.318309,,,1.091884,1.173093,1.605303,,1.094592
1998M01,,0.662232,1.153754,0.946658,0.787762,,,,0.972381,1.020767,,0.985902,0.669726,1.399508,,,1.046554,,1.374701,0.933562,0.950609,1.043555,0.981585,1.541252,2.124164,0.839988,,0.96654,0.482359,0.841631,0.592223,0.925224,,,1.340314,,,1.072594,1.164032,1.626987,,1.101817
1998M02,,0.660863,1.112877,0.937948,0.784262,,,,0.987239,1.025532,,0.99055,0.673151,1.40884,,,1.045262,,1.338766,0.95335,0.957491,1.041858,1.073156,1.573427,2.089109,0.839995,,0.987931,0.473377,0.842927,0.60821,0.959153,,,1.324479,,,1.04439,1.140566,1.634119,,1.108961
1998M03,,0.660207,1.150802,0.942275,0.786646,,,,0.988335,1.03155,,0.996922,0.673539,1.412097,,,1.048502,,1.266986,0.964238,0.958898,1.050253,1.073995,1.597137,2.078329,0.837712,,1.002106,0.466985,0.840507,0.596111,1.004853,,,1.313433,,,1.02912,1.14514,1.65227,,1.116242
1998M04,,0.663885,1.148823,0.93475,0.778434,,,,0.991476,1.035195,,1.025358,0.674195,1.39337,,,1.047199,,1.207008,0.947031,0.943057,1.050132,1.078659,1.605554,2.021486,0.848973,,0.991244,0.468319,0.824622,0.608943,1.098486,,,1.308157,,,1.020089,1.102051,1.664571,,1.114176
1998M05,,0.66205,1.16894,0.91707,0.777114,,,,0.992552,1.037688,,1.034961,0.664084,1.398531,,,1.048876,,1.320978,0.936988,0.941484,1.048283,1.048563,1.61073,2.002363,0.837005,,1.020726,0.463951,0.821318,0.619808,1.145875,,,1.303091,,,1.030655,1.188216,1.661079,,1.117667
1998M06,,0.658199,1.175131,0.92861,0.770974,,,,1.005102,1.047642,,1.00732,0.676338,1.415284,,,1.052045,,1.456173,0.940753,0.942873,1.051653,0.979345,1.614142,2.008117,0.821687,,1.026476,0.458782,0.821381,0.60909,1.178436,,,1.305588,,,1.047439,1.16089,1.6691,,1.119268
1998M07,,0.651147,1.225788,0.91817,0.760398,,,,1.013026,1.052679,,1.037371,0.683005,1.415076,,,1.04661,,1.400669,0.945284,0.954312,1.072506,1.034572,1.61156,1.987706,0.823559,,1.02763,0.449319,0.832044,0.593261,1.226666,,,1.325104,,,1.06236,1.203074,1.662789,,1.124449
1998M08,,0.644171,1.042638,0.908981,0.753361,,,,1.010961,1.057862,,0.988902,0.684425,1.41518,,,1.052449,,1.300513,0.941632,0.956792,1.094076,1.053645,1.618134,1.967319,0.81858,,1.031056,0.445293,0.834012,0.61047,1.202941,,,1.324205,,,1.102954,1.164222,1.65123,,1.122447
1998M09,,0.636215,1.188335,0.911296,0.749277,,,,1.011253,1.06442,,1.007053,0.681098,1.421976,,,1.046902,,1.201897,0.947027,0.957137,1.072541,1.086067,1.609216,1.974389,0.823465,,1.028797,0.443103,0.834148,0.598204,1.144661,,,1.310269,,,1.118615,1.192096,1.637741,,1.114356
1998M10,,0.623934,1.165857,0.879308,0.750368,,,,1.004176,1.071224,,1.026269,0.681153,1.417326,,,1.048234,,1.077338,0.94494,0.946686,1.074352,1.067972,1.606052,1.956324,0.831439,,1.008284,0.445165,0.831475,0.581263,0.993215,,,1.299523,,,1.087634,1.175816,1.626533,,1.112018
1998M11,,0.617087,1.146031,0.873882,0.754289,,,,1.00553,1.073875,,1.017125,0.670318,1.400604,,,1.048614,,1.051286,0.929236,0.948448,1.088938,1.069695,1.610282,1.951853,0.818971,,0.988193,0.444869,0.828828,0.559054,0.954675,,,1.299878,,,1.073025,1.201341,1.628383,,1.120347
1998M12,,0.61193,1.139914,0.87962,0.747744,,,,1.008929,1.076687,,1.02553,0.665812,1.402977,,,1.042817,,0.993906,0.942277,0.954475,1.090824,1.074215,1.620384,1.949948,0.815074,,0.996184,0.444615,0.825196,0.552422,0.937319,,,1.30373,,,1.076149,1.207781,1.629414,,1.12905
1999M01,,0.609075,1.166298,0.858611,0.748798,,,,1.008788,1.074228,,1.028007,0.666891,1.395651,1.0366,,1.037172,,1.074164,0.927415,0.970687,1.109416,1.040215,1.638622,1.945932,0.818575,,0.976487,0.435919,0.816387,0.558549,0.950996,,,1.309514,,,1.105863,1.234647,1.622701,,1.12534
1999M02,,0.606602,1.129526,0.816856,0.753918,,,,1.006073,1.074157,,0.992247,0.668069,1.385473,1.027201,,1.037353,,1.092777,0.957805,0.980258,1.102069,1.051072,1.647362,1.961743,0.813071,,0.992068,0.44209,0.813927,0.572281,0.967746,,,1.315291,,,1.122011,1.245675,1.626777,,1.124287
1999M03,,0.605228,1.157658,0.821602,0.750566,,,,1.003512,1.067456,,1.032285,0.668615,1.377282,1.038981,,1.043367,,1.093841,0.903495,0.989405,1.101732,1.052199,1.651767,1.968603,0.83493,,0.997095,0.45497,0.813575,0.574799,0.99989,,,1.308335,,,1.144182,1.239024,1.616293,,1.116041
